title,subtitle,link
STRIKER POSE,Haaland's girlfriend Isabel wows in see-through outfit at fashion show,https://www.thesun.co.uk/sport/35869816/erling-haaland-girlfriend-isobel-johansen-dolce-gabanna-fashion-show/
GAFFER WOE,Ex-Chelsea boss Maurizio Sarri taken to hospital with 'sudden illness',https://www.thesun.co.uk/sport/35877734/chelsea-maurizio-sarri-hospital-illness-lazio/
DREAM LAND,Dream Team has returned! Everything you need to know about the 2025/26 season,https://www.thesun.co.uk/sport/football/dream-team/35744915/fantasy-football-premier-league-season-rules-prize-leagues/
SWOOP,Chelsea make £80m-rated Aston Villa and England star top transfer target,https://www.thesun.co.uk/sport/35874626/morgan-rogers-chelsea-transfer-aston-villa-jackson/
NEW WRIGHTY,Arsenal look to have hijacked Liverpool's £100k transfer for Salford striker,https://www.thesun.co.uk/sport/35874481/arsenal-salford-striker-will-wright-transfer/
RED ALERT,Liverpool's ambitious Isak bid can keep Man Utd off their perch once and for all,https://www.thesun.co.uk/sport/35864858/liverpool-alexander-isak-transfer-man-utd/
EUR OUT,Uefa bans disgraced club from all competitions for 10 years over match fixing,https://www.thesun.co.uk/sport/35876639/uefa-bans-fk-arsenal-tivat-match-fixing/
YOUNG AT HEART,"Ex-England star Ashley Young, 40, 'offered emotional return to former club'",https://www.thesun.co.uk/sport/35874394/ashley-young-watford-everton-premier-league-transfer/
ROLEX,Win a Rolex or £25k cash alternative from just 8p with our special discount code,https://www.thesun.co.uk/sport/18922011/win-watch-7dp/
MAN ALIVE!,Premier League stadium undergoes major summer revamp with host of new features,https://www.thesun.co.uk/sport/35867790/etihad-new-feature-premier-league/
SAK CHASE,Liverpool 'contact Newcastle over record £120m transfer bid for Isak',https://www.thesun.co.uk/sport/35857255/liverpool-transfer-news-alexander-isak-contact-newcastle/
HATS OFF,Chelsea 'hold talks for Jorrel Hato but must stump up extra £20m for Ajax star',https://www.thesun.co.uk/sport/35865646/jorrel-hato-chelsea-ajax-transfer-talks/
LOOK WHO'S XHAK,Xhaka in talks over Sunderland move as fans predict star's first red card,https://www.thesun.co.uk/sport/35873189/granit-xhaka-sunderland-transfer-newcastle/
STAYING PUT,"Nwaneri, 18, agrees bumper new Arsenal deal amid Chelsea transfer interest",https://www.thesun.co.uk/sport/35866908/arsenal-transfer-news-ethan-nwaneri-new-deal/
NOTT GOING YET,Spurs and Forest in standoff over Gibbs-White as release clause explained,https://www.thesun.co.uk/sport/35862985/tottenham-nottingham-forest-morgan-gibbs-white-release-clause/
KAI & MIGHTY,'That's Henry Cavill' - Arsenal fans stunned by Havertz body transformation,https://www.thesun.co.uk/sport/35856329/kai-havertz-arsenal-body-transformation/
GROUND BREAKING,Prem club share first images of incredible stadium plans to double capacity,https://www.thesun.co.uk/sport/35866319/bournemouth-new-stadium-expansion/
RACISM STORM,Former Tottenham wonderkid breaks down in tears after being ‘racially abused',https://www.thesun.co.uk/sport/35873097/ex-tottenham-star-racist-abuse-tears-aramide-oteh/
STRIFE OF BRYAN,Man Utd fans give up on next season after latest Mbeumo transfer update,https://www.thesun.co.uk/sport/35848479/man-utd-bryan-mbeumo-latest-transfer/
KOP A LOAD OF THAT,Arsenal face missing out on Rodrygo with Liverpool ready to 'go all in',https://www.thesun.co.uk/sport/35866419/transfer-news-arsenal-liverpool-rodrygo/
FOOTIE SHOCK,Lamine Yamal may be investigated after ‘dwarfs hired for 18th birthday party’,https://www.thesun.co.uk/sport/35836353/barcelona-news-lamine-yamal-dwarf-party/
STEVIE GLEE,"Steven Gerrard, 45, becomes a grandad as his daughter Lilly gives birth",https://www.thesun.co.uk/sport/35851068/steven-gerrard-becomes-grandad-daughter-ella-boyfriend/
EZE DOES IT,Arsenal face missing out on Eze as European giants go head-to-head for transfer,https://www.thesun.co.uk/sport/35838270/arsenal-eze-transfer-battle-bayern-munich-exclusive/
DEAL ME IN,"Champions League winner's son, 18, follows dad's footsteps by signing pro deal",https://www.thesun.co.uk/sport/35862394/wesley-sneijder-son-jessey-contract-utrecht/
TRUMP CARD,Trump reveals he's keeping CWC trophy after gatecrashing Chelsea celebrations,https://www.thesun.co.uk/sport/35866129/donald-trump-keeping-club-world-cup-trophy-chelsea-gatecrash/
EXCLUSIVE,BetMGM Casino welcome offer: Up to £200 extra+100 free spins on Big Bass Splash,https://www.thesun.co.uk/betting/35478540/exclusive-betmgm-casino-offer/
WELCOME BONUS,Get up to £40 in free bets to spend on football with talkSPORT BET,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
