title,subtitle,link
RED ALERT,Liverpool's ambitious Isak bid can keep Man Utd off their perch once and for all,https://www.thesun.co.uk/sport/35864858/liverpool-alexander-isak-transfer-man-utd/
NEW WRIGHTY,Arsenal look to have hijacked Liverpool's £100k transfer for Salford striker,https://www.thesun.co.uk/sport/35874481/arsenal-salford-striker-will-wright-transfer/
MAN ALIVE!,Premier League stadium undergoes major summer revamp with host of new features,https://www.thesun.co.uk/sport/35867790/etihad-new-feature-premier-league/
HATS OFF,Chelsea 'hold talks for Jorrel Hato but must stump up extra £20m for Ajax star',https://www.thesun.co.uk/sport/35865646/jorrel-hato-chelsea-ajax-transfer-talks/
ROLEX,Win a Rolex or £25k cash alternative from just 8p with our special discount code,https://www.thesun.co.uk/sport/18922011/win-watch-7dp/
LETTA OUT,Stunning DAZN presenter Diletta Leotta goes braless as she dazzles in bold dress,https://www.thesun.co.uk/sport/35860324/diletta-leotta-braless-dress-new-york-dazn/
TOP TRUMPS,Donald Trump spotted pocketing Club World Cup winners medal on stage,https://www.thesun.co.uk/sport/35868060/donald-trump-pocket-club-world-cup-medal/
RASH DEAL,Liverpool 'consider' Rashford move claims shock report as saga takes fresh twist,https://www.thesun.co.uk/sport/35865365/marcus-rashford-liverpool-transfer-man-utd/
DEAL ME IN,"Champions League winner's son, 18, follows dad's footsteps by signing pro deal",https://www.thesun.co.uk/sport/35862394/wesley-sneijder-son-jessey-contract-utrecht/
STAYING PUT,"Nwaneri, 18, agrees bumper new Arsenal deal amid Chelsea transfer interest",https://www.thesun.co.uk/sport/35866908/arsenal-transfer-news-ethan-nwaneri-new-deal/
SAK CHASE,Liverpool 'contact Newcastle over record £120m transfer bid for Isak',https://www.thesun.co.uk/sport/35857255/liverpool-transfer-news-alexander-isak-contact-newcastle/
STRIFE OF BRYAN,Man Utd fans give up on next season after latest Mbeumo transfer update,https://www.thesun.co.uk/sport/35848479/man-utd-bryan-mbeumo-latest-transfer/
NOTT GOING YET,Spurs and Forest in standoff over Gibbs-White as release clause explained,https://www.thesun.co.uk/sport/35862985/tottenham-nottingham-forest-morgan-gibbs-white-release-clause/
TRUMP CARD,Trump reveals he's keeping CWC trophy after gatecrashing Chelsea celebrations,https://www.thesun.co.uk/sport/35866129/donald-trump-keeping-club-world-cup-trophy-chelsea-gatecrash/
STEVIE GLEE,"Steven Gerrard, 45, becomes a grandad as his daughter Lilly gives birth",https://www.thesun.co.uk/sport/35851068/steven-gerrard-becomes-grandad-daughter-ella-boyfriend/
KAI & MIGHTY,'That's Henry Cavill' - Arsenal fans stunned by Havertz body transformation,https://www.thesun.co.uk/sport/35856329/kai-havertz-arsenal-body-transformation/
GROUND BREAKING,Prem club share first images of incredible stadium plans to double capacity,https://www.thesun.co.uk/sport/35866319/bournemouth-new-stadium-expansion/
HOSPITAL DASH,Ex-Prem manager Juric rushed to hospital as Atalanta release statement,https://www.thesun.co.uk/sport/35850467/ivan-juric-hospital-atalanta-premier-league-news/
EZE DOES IT,Arsenal face missing out on Eze as European giants go head-to-head for transfer,https://www.thesun.co.uk/sport/35838270/arsenal-eze-transfer-battle-bayern-munich-exclusive/
KOP A LOAD OF THAT,Arsenal face missing out on Rodrygo with Liverpool ready to 'go all in',https://www.thesun.co.uk/sport/35866419/transfer-news-arsenal-liverpool-rodrygo/
FOOTIE SHOCK,Lamine Yamal may be investigated after ‘dwarfs hired for 18th birthday party’,https://www.thesun.co.uk/sport/35836353/barcelona-news-lamine-yamal-dwarf-party/
TAKE YOUR VIK,Arsenal's Viktor Gyokeres transfer 'at serious risk of complete collapse',https://www.thesun.co.uk/sport/35847916/arsenal-viktor-gyokeres-transfer-sporting/
ISAK'S NEW TOWN?,What Newcastle signing Hugo Ekitike could mean for Alexander Isak's future,https://www.thesun.co.uk/sport/35849440/newcastle-ekitike-isak-transfer/
TONEY WOE,England star Toney has car broken into and fumes 'this is why I hate London',https://www.thesun.co.uk/sport/35845863/ivan-toney-car-windows-smashed-london/
SPURRED ON,"Championship club confirm plans for 60,000 stadium with feature used by Spurs",https://www.thesun.co.uk/sport/35837314/birmingham-new-stadium-spurs-track/
EXCLUSIVE,BetMGM Casino welcome offer: Up to £200 extra+100 free spins on Big Bass Splash,https://www.thesun.co.uk/betting/35478540/exclusive-betmgm-casino-offer/
WELCOME BONUS,Get up to £40 in free bets to spend on football with talkSPORT BET,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
TOTELY GREAT,Get £30 in free bets and 20 free spins when you stake £10 on football at Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
SPACE INVADER,Chelsea star’s stunning model Wag captured ‘best UFO footage ever’,https://www.thesun.co.uk/sport/35856297/chelsea-joao-felix-wag-best-ufo-alien/
BLUE FEELING,Baffled fans call Chelsea 'small club' after bizarre post following CWC win,https://www.thesun.co.uk/sport/35835979/chelsea-fans-small-club-admin-club-world-cup-troll/
FREE FOR ALL,Chelsea Premier League winner stars in PFA XI of unemployed players,https://www.thesun.co.uk/sport/35847725/chelsea-premier-league-winner-pfa-xi-umemployed-players/
HUGO BOSS,Newcastle submit club record £69.5m bid for Frankfurt star Hugo Ekitike,https://www.thesun.co.uk/sport/35844633/newcastle-hugo-ekitike-transfer-bid-eintracht-frankfurt/
TAKING THE KP,England legend Pietersen trolls Arsenal after Chelsea's Club World Cup glory,https://www.thesun.co.uk/sport/35838094/kevin-pietersen-chelsea-trolls-arsenal-club-world-cup/
RATED,Best online casinos | Top UK casino sites (July 2025),https://www.thesun.co.uk/betting/32855412/best-online-casinos-uk/
CASI-YES,Best casino apps: Top 10 mobile casinos in the UK (2025),https://www.thesun.co.uk/betting/33044287/best-casino-apps-uk/
SLOT STAR,Best slot sites in the UK: Top online slots casinos in 2025,https://www.thesun.co.uk/betting/33374504/best-slot-sites-uk/
